272,429,706,463,704,493,269,459,0.99948174
288,303,450,319,448,346,285,330,0.99946684
303,332,384,331,384,357,304,358,0.9993963
576,368,785,377,784,411,574,402,0.9993844
144,472,193,475,192,494,142,492,0.9993216
336,117,690,139,688,173,333,151,0.9993013
624,350,689,355,688,375,622,370,0.9992919
704,151,784,153,784,181,703,179,0.9992901
160,340,208,342,208,364,159,363,0.9992811
368,472,786,508,784,539,365,503,0.99922264
272,348,513,362,512,386,270,371,0.999215
320,48,802,88,800,118,317,77,0.99920064
384,82,738,109,736,137,381,110,0.9991953
512,314,690,328,688,359,509,345,0.99917334
